genres,1970-1980,1980-1990,1990-2000,2000-2010,2010-2020,total
Polygamy,0,0,0,2,1,3
Republic Of The Congo,0,0,1,2,0,3
Russian Revolution,0,0,1,1,1,3
Silhouette,0,3,0,0,0,3
Slash Fiction,0,0,0,3,0,3
Tarot,1,2,0,0,0,3
Tasmania,1,0,1,1,0,3
Theosophy,1,0,2,0,0,3
Victor Frankenstein,0,0,0,3,0,3
Victorian Romance,0,0,0,2,1,3
Visual Art,0,0,3,0,0,3
Weird West,0,1,0,1,1,3
Adolescence,0,0,1,1,0,2
Aeroplanes,0,0,0,0,2,2
Alcohol,0,0,1,0,1,2
Alexandria,0,0,1,1,0,2
Asexual,0,0,0,0,2,2
Baha I,0,0,1,1,0,2
Bicycles,1,0,0,0,1,2
Bolivia,0,0,0,2,0,2
Burundi,0,0,0,2,0,2
Christian Contemporary Fiction,0,0,1,1,0,2
Climate Change Fiction,0,0,0,1,1,2
Creation Science,0,1,1,0,0,2
Cryptozoology,0,1,1,0,0,2
Divination,1,1,0,0,0,2
Fire Services,1,0,0,1,0,2
Frugal,0,0,0,2,0,2
Geek,0,0,0,1,1,2
Ghana,0,0,0,1,1,2
Global Warming,0,0,0,2,0,2
Graphic Novels Comics Manga,0,0,1,0,1,2
Harlequin Heartwarming,0,0,0,0,2,2
Harlequin Historical,0,0,0,1,1,2
Hip Hop,0,0,0,2,0,2
Holland,0,0,0,2,0,2
Homeschool,0,1,1,0,0,2
Horticulture,0,1,0,1,0,2
Intersex,0,0,0,0,2,2
Jokes,0,0,0,1,1,2
Journaling,0,0,0,2,0,2
Led Zeppelin,0,1,0,0,1,2
Lenin,0,0,0,1,1,2
Liberia,0,0,0,2,0,2
Maps,0,1,1,0,0,2
